あかき ひ の かたむく のら の いやはて に なら の みてら の かべ の ゑ を おもへ,南京新唱,奈良より東京なる某生へ

のこり なく てら ゆき めぐれ かぜ ふきて ふるき みやこ は さむく あり とも,南京新唱,奈良を去る時大泉生へ

ならさか を じやうるりでら に こえむ ひ は みち の まはに に あし あやまち そ,南京新唱,奈良を去る時大泉生へ

いにしへ の なら の みやびと いま あらば こし の えみし と あ を ことなさむ,南京新唱,奈良にて

あをによし ならやま こえて さかる とも ゆめ に し みえ こ わかくさ の やま,南京新唱,東京にかへるとて

ならやま を さかりし ひ より あさ に け に みてら みほとけ おもかげ に たつ,南京新唱,東京にかへりて後に
